"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 13 2018","3240.0","3390.0","3390.0","3220.0","17.00e6","-5.81%"
"Nov 09 2018","3440.0","3415.0","3500.0","3350.0","12.50e6","0.44%"
"Nov 08 2018","3425.0","3400.0","3530.0","3400.0","6.63e6","-1.58%"
"Nov 07 2018","3480.0","3450.0","3520.0","3415.0","6.37e6","1.16%"
"Nov 06 2018","3440.0","3495.0","3500.0","3380.0","16.63e6","0.29%"
"Nov 02 2018","3430.0","3440.0","3550.0","3380.0","18.94e6","-1.01%"
"Nov 01 2018","3465.0","3700.0","3740.0","3455.0","20.42e6","-7.35%"
"Oct 31 2018","3740.0","3765.0","3835.0","3740.0","19.99e6","-0.27%"
"Oct 30 2018","3750.0","3680.0","3770.0","3635.0","13.26e6","1.63%"
"Oct 29 2018","3690.0","3750.0","3815.0","3665.0","13.41e6","-1.73%"
"Oct 26 2018","3755.0","3670.0","3790.0","3650.0","8.31e6","1.35%"
"Oct 25 2018","3705.0","3700.0","3745.0","3670.0","11.00e6","0.54%"
"Oct 24 2018","3685.0","3890.0","3915.0","3685.0","14.53e6","-4.16%"
"Oct 23 2018","3845.0","3910.0","3920.0","3800.0","21.59e6","-2.90%"
"Oct 22 2018","3960.0","3955.0","3980.0","3925.0","10.44e6","0.25%"
"Oct 19 2018","3950.0","3925.0","3990.0","3925.0","6.38e6","0.64%"
"Oct 18 2018","3925.0","3900.0","3990.0","3900.0","11.06e6","-1.01%"
"Oct 17 2018","3965.0","3925.0","4005.0","3885.0","14.36e6","-0.13%"
"Oct 16 2018","3970.0","3920.0","3970.0","3840.0","14.93e6","0.51%"
"Oct 12 2018","3950.0","3940.0","4010.0","3915.0","12.39e6","1.28%"
"Oct 11 2018","3900.0","4000.0","4000.0","3885.0","18.86e6","-2.86%"
"Oct 10 2018","4015.0","4075.0","4100.0","3985.0","16.97e6","-1.59%"
"Oct 09 2018","4080.0","3990.0","4110.0","3990.0","9.51e6","2.26%"
"Oct 08 2018","3990.0","4000.0","4035.0","3955.0","6.65e6","-0.62%"
"Oct 05 2018","4015.0","4055.0","4085.0","4000.0","10.65e6","-1.59%"
"Oct 04 2018","4080.0","4135.0","4155.0","4075.0","7.17e6","-1.92%"
"Oct 03 2018","4160.0","4060.0","4170.0","4060.0","8.42e6","1.34%"
"Oct 02 2018","4105.0","4100.0","4190.0","4045.0","12.11e6","-1.08%"
"Oct 01 2018","4150.0","4040.0","4155.0","4030.0","10.92e6","2.98%"
"Sep 28 2018","4030.0","3940.0","4030.0","3940.0","13.89e6","1.26%"
"Sep 27 2018","3980.0","3960.0","3985.0","3940.0","12.28e6","1.40%"
"Sep 26 2018","3925.0","3910.0","3985.0","3870.0","13.20e6","-0.13%"
"Sep 25 2018","3930.0","3910.0","3995.0","3910.0","11.93e6","0.77%"
"Sep 24 2018","3900.0","3705.0","3905.0","3705.0","14.60e6","5.98%"
"Sep 21 2018","3680.0","3750.0","3805.0","3680.0","37.70e6","-0.94%"
"Sep 20 2018","3715.0","3835.0","3870.0","3705.0","17.20e6","-3.51%"
"Sep 19 2018","3850.0","3930.0","3930.0","3795.0","9.42e6","-2.28%"
"Sep 18 2018","3940.0","3890.0","4000.0","3890.0","15.46e6","1.81%"
"Sep 17 2018","3870.0","3785.0","3910.0","3770.0","10.15e6","2.11%"
"Sep 14 2018","3790.0","3760.0","3850.0","3735.0","8.67e6","0.66%"
"Sep 13 2018","3765.0","3795.0","3860.0","3680.0","20.31e6","-1.44%"
"Sep 12 2018","3820.0","3490.0","3840.0","3490.0","39.33e6","9.77%"
"Sep 11 2018","3480.0","3410.0","3480.0","3410.0","14.25e6","2.05%"
"Sep 10 2018","3410.0","3400.0","3440.0","3400.0","8.71e6","0.00%"
"Sep 07 2018","3410.0","3350.0","3440.0","3350.0","10.58e6","0.59%"
"Sep 06 2018","3390.0","3410.0","3440.0","3380.0","7.82e6","-1.17%"
"Sep 05 2018","3430.0","3420.0","3450.0","3390.0","10.50e6","-0.72%"
"Sep 04 2018","3455.0","3400.0","3465.0","3400.0","10.86e6","1.77%"
"Sep 03 2018","3395.0","3400.0","3400.0","3355.0","1.05e6","-0.73%"
"Aug 31 2018","3420.0","3450.0","3455.0","3415.0","9.52e6","-0.73%"
"Aug 30 2018","3445.0","3400.0","3445.0","3380.0","9.53e6","1.77%"
"Aug 29 2018","3385.0","3335.0","3395.0","3335.0","11.46e6","1.65%"
"Aug 28 2018","3330.0","3305.0","3330.0","3290.0","11.30e6","0.76%"
"Aug 27 2018","3305.0","3260.0","3305.0","3255.0","6.36e6","1.07%"
"Aug 24 2018","3270.0","3245.0","3295.0","3245.0","9.93e6","0.93%"
"Aug 23 2018","3240.0","3200.0","3240.0","3190.0","7.77e6","0.62%"
"Aug 22 2018","3220.0","3160.0","3220.0","3160.0","12.45e6","2.55%"
"Aug 21 2018","3140.0","3100.0","3180.0","3100.0","12.71e6","1.45%"
"Aug 17 2018","3095.0","3070.0","3100.0","3070.0","7.37e6","0.98%"
"Aug 16 2018","3065.0","3000.0","3070.0","3000.0","7.32e6","2.17%"
"Aug 15 2018","3000.0","3105.0","3145.0","2985.0","18.89e6","-3.23%"
"Aug 14 2018","3100.0","3060.0","3110.0","3060.0","7.67e6","1.31%"
"Aug 13 2018","3060.0","3050.0","3090.0","3050.0","6.51e6","-0.33%"
"Aug 10 2018","3070.0","3025.0","3085.0","3005.0","5.76e6","1.32%"
"Aug 09 2018","3030.0","3100.0","3105.0","2995.0","14.49e6","-4.57%"
"Aug 08 2018","3175.0","3130.0","3175.0","3070.0","6.42e6","1.11%"
"Aug 06 2018","3140.0","3100.0","3140.0","3080.0","3.44e6","1.45%"
"Aug 03 2018","3095.0","3140.0","3165.0","3060.0","9.49e6","-1.12%"
"Aug 02 2018","3130.0","3100.0","3150.0","3090.0","5.26e6","0.16%"
"Aug 01 2018","3125.0","3055.0","3125.0","3035.0","9.67e6","1.79%"
"Jul 31 2018","3070.0","3080.0","3090.0","3025.0","11.05e6","-0.32%"
"Jul 30 2018","3080.0","3000.0","3095.0","3000.0","13.25e6","3.18%"
"Jul 27 2018","2985.0","3005.0","3030.0","2970.0","8.93e6","-0.67%"
"Jul 26 2018","3005.0","2980.0","3005.0","2965.0","6.35e6","0.17%"
"Jul 25 2018","3000.0","2955.0","3000.0","2955.0","7.34e6","1.18%"
"Jul 24 2018","2965.0","2980.0","2995.0","2965.0","4.97e6","-0.17%"
"Jul 23 2018","2970.0","2970.0","2995.0","2960.0","4.73e6","0.68%"
"Jul 19 2018","2950.0","2970.0","2990.0","2945.0","5.02e6","-0.51%"
"Jul 18 2018","2965.0","2930.0","2980.0","2925.0","6.75e6","0.17%"
"Jul 17 2018","2960.0","2925.0","2985.0","2920.0","7.72e6","0.68%"
"Jul 16 2018","2940.0","2935.0","2940.0","2880.0","11.52e6","-0.84%"
"Jul 13 2018","2965.0","2935.0","2975.0","2930.0","5.66e6","0.68%"
"Jul 12 2018","2945.0","2960.0","2960.0","2925.0","11.45e6","-0.34%"
